year,industry_code,classification,Employment (in 1000s),Members (in 1000s),Covered (in 1000s),% Mem,% Cov
2001,83,SIC,3015.846538758336,198.313062175,227.54066100833325,6.575701370290814,7.5448355240918445
2001,89,SIC,5379.413177008326,170.18613131666672,200.12844519166677,3.163656066502648,3.7202653636463183
2001,90,SIC,6081.787893733315,1959.6368344500013,2208.7984846083314,32.22139391722646,36.31824264842056
2001,07,SIC,1762.6538161083358,45.72263184166667,54.21211269166666,2.5939654981495512,3.0755961378371244
2002,11,NAICS,1862.9774971583327,52.20661199166666,60.55690378333334,2.802321126868108,3.2505440283472553
2002,21,NAICS,7631.028099933327,1384.8637762333328,1444.4000718500008,18.147800769406583,18.92798785346657
2002,22,NAICS,1442.7386526249988,423.36396768333327,459.9348734750001,29.344466990819257,31.879292388692086
2002,23,NAICS,7174.026017208313,1346.3660955083328,1398.9853494999993,18.767231848320716,19.50070080794602
2002,42,NAICS,4455.172603683329,219.20545927500007,237.37368987500008,4.920246167202842,5.328046991462252
2002,51,NAICS,5202.8977445333385,510.6860291083332,562.9323909916665,9.815415450840039,10.819593592496355
2002,52,NAICS,6096.728473833333,101.3596013,135.86940834166666,1.6625244462669977,2.2285625630993278
2002,53,NAICS,1804.024622975001,80.84504766666664,91.59106470833329,4.481371630801014,5.077040720059091
2002,54,NAICS,5539.742629033357,157.58193893333333,185.8311369583334,2.8445714807662497,3.354508492586045
2002,55,NAICS,3673.903949749998,133.93006680000002,156.0695308,3.6454427941458216,4.24805691533172
2002,56,NAICS,3437.7238425666164,124.71815992500004,150.43746966666674,3.6279284095107833,4.376077793216503
2002,61,NAICS,11389.19087225829,3975.0355140250085,4449.6865205500135,34.90182541156081,39.069382280601936
2002,62,NAICS,14074.772289533299,1396.5807161000005,1562.0866441583344,9.922581249421473,11.098486085774757
2002,71,NAICS,7710.78353665834,961.1958491749999,1087.4756008916654,12.465605403203394,14.103308642002807
2002,81,NAICS,3589.06943270833,142.5326716916666,157.11996665833325,3.9712988105697,4.377735499526676
2002,92,NAICS,6161.318265833343,1993.6344914083295,2217.299458258331,32.35727169725556,35.98741961690292
2002,31-33,NAICS,15434.6572686667,2329.5510135500017,2448.1071146250024,15.092988286038157,15.861104474245824
2002,44-45,NAICS,20749.573721449997,924.5492141749997,1023.1364798000001,4.455750400400956,4.9308795136467145
2002,48-49,NAICS,5614.489477916671,1847.6225129083382,1951.1993449916697,32.90811248601578,34.75292549155667
2003,11,NAICS,1157.7249492166654,26.401912274999997,35.3890069,0.022804995998740196,0.03056771494448185
2003,21,NAICS,504.4300587000001,45.76406460833332,53.10969300833331,0.09072430431842804,0.10528653860092163
2003,22,NAICS,8829.73434528335,1699.7862237250001,1792.7215346250016,0.1925070583820343,0.20303232967853546
2003,23,NAICS,7630.352341658332,1335.2502809499995,1406.4237973249988,0.17499195039272308,0.1843196451663971
2003,42,NAICS,3885.728442366666,197.19336834166668,212.9727608083333,0.05074810981750488,0.05480896681547165
2003,51,NAICS,3465.3023998999997,472.86001544166606,511.7542493499996,0.13645562529563904,0.14767953753471375
2003,52,NAICS,6346.857347383316,113.67332528333328,162.94700752499998,0.017910175025463104,0.025673652067780495
2003,53,NAICS,2208.0589517166673,102.49715998333335,122.57657308333332,0.046419575810432434,0.05551327019929886
2003,54,NAICS,6349.880034058333,115.4396026083333,161.14613909166658,0.01817980781197548,0.025377824902534485
2003,55,NAICS,4614.019570741675,192.86850912500006,228.55076001666674,0.04180053994059563,0.04953398182988167
2003,61,NAICS,11580.854700508266,3935.5325256833453,4438.312889158348,0.3398309350013733,0.38324570655822754
2003,62,NAICS,15115.461251141576,1407.4715521416638,1614.6261821833305,9.31146942032858,10.681951118503829
2003,71,NAICS,2108.6491415333326,148.51746305833336,173.4172192583333,0.07043251395225525,0.08224090933799744
2003,72,NAICS,8485.107400316661,192.56944929166644,231.32893484999965,0.022694991901516914,0.027262935414910316
2003,81,NAICS,5462.884906858324,187.94831886666663,212.62652878333336,0.03440459072589874,0.0389220230281353
