year,industry_code,code_source,inspection_count,violation_count,accident_count,avg_penalty,avg_gravity,avg_injury_degree
2004,22,NAICS,1073,2665.0,79.0,1459.550933125972,4.5606837606837605,1.4936708860759493
2004,23,NAICS,52918,106111.0,1923.0,986.3428124898884,4.400462652541236,1.56266250650026
2004,31-33,NAICS,22413,89969.0,1200.0,957.4356147230822,2.6571079571893903,1.8725
2004,42,NAICS,2621,8140.0,173.0,849.395,2.7409961685823756,1.676300578034682
2004,44-45,NAICS,3436,8924.0,184.0,938.4786331314195,2.4298981426003596,1.7771739130434783
2004,48-49,NAICS,3616,7696.0,283.0,1019.2616641768748,2.5155105557949153,1.480565371024735
2004,51,NAICS,532,993.0,49.0,1094.9060324825987,2.34052757793765,1.8775510204081634
2004,52,NAICS,202,208.0,9.0,1053.75,2.5238095238095237,1.4444444444444444
2004,53,NAICS,736,1681.0,36.0,1041.3103099730458,2.933641975308642,1.5277777777777777
2004,54,NAICS,785,1719.0,65.0,824.4403080872914,2.9184149184149186,1.5384615384615385
2004,55,NAICS,35,13.0,0.0,1678.3333333333333,7.666666666666667,
2004,56,NAICS,3905,8345.0,331.0,1219.1189721928897,3.4094657583363213,1.5709969788519638
2004,61,NAICS,1492,3758.0,47.0,884.6094559585492,1.7371048252911814,1.7659574468085106
2004,62,NAICS,2537,6723.0,56.0,871.3507688927945,2.1957251908396946,1.75
2004,71,NAICS,573,1880.0,60.0,828.742460658083,2.9574468085106385,1.5
2004,72,NAICS,1697,4184.0,54.0,726.7347338935574,2.3689024390243905,1.7592592592592593
2004,81,NAICS,2669,9377.0,101.0,701.3522829678582,2.5930715935334874,1.504950495049505
2004,92,NAICS,3382,7947.0,108.0,715.0970852017937,2.1896713615023473,1.5740740740740742
2005,0.,NAICS,1,0.0,0.0,,,
2005,11,NAICS,2202,4965.0,240.0,762.4212478184992,2.743114109050028,1.5583333333333333
2005,21,NAICS,720,1637.0,96.0,1540.8821761658032,3.7015663643858203,1.4270833333333333
2005,22,NAICS,1235,2747.0,66.0,1488.1237288135594,3.7990654205607473,1.5303030303030303
2005,23,NAICS,52435,104878.0,1906.0,932.0819488894196,4.344259028642591,1.614900314795383
2005,31-33,NAICS,20652,82979.0,1158.0,1439.5959945464635,2.6802279832415303,1.9214162348877375
2005,42,NAICS,2536,7668.0,210.0,976.2526962252846,2.662432966412645,1.619047619047619
2005,44-45,NAICS,3220,7862.0,227.0,981.3766131344996,2.4517879948914425,1.748898678414097
2005,48-49,NAICS,3296,7123.0,298.0,1056.4100191754555,2.4822299651567943,1.4731543624161074
2005,51,NAICS,586,958.0,45.0,1101.8318965517244,3.06378132118451,1.6888888888888889
2005,52,NAICS,157,192.0,4.0,824.4050632911391,2.126315789473684,1.5
2005,53,NAICS,626,1709.0,43.0,907.6662857142857,3.8713910761154855,1.5348837209302326
2005,54,NAICS,804,1397.0,181.0,867.6565457413249,3.1593625498007967,2.303867403314917
2005,55,NAICS,37,33.0,1.0,533.8095238095239,1.0869565217391304,2.0
2005,56,NAICS,3871,7692.0,405.0,1257.6240150659132,4.025537634408602,1.5802469135802468
2005,61,NAICS,1555,4318.0,44.0,737.6713947990544,2.332764505119454,1.5681818181818181
2005,62,NAICS,2392,5598.0,45.0,851.7363373620599,2.0600890207715135,1.6222222222222222
2005,71,NAICS,561,1782.0,59.0,956.75,3.0,1.4745762711864407
2005,72,NAICS,1782,4441.0,63.0,613.8618735083533,2.2033898305084745,1.8888888888888888
2005,81,NAICS,3074,9114.0,108.0,545.9035665171898,2.40457323975549,1.5
2005,92,NAICS,3367,6676.0,112.0,760.3622222222223,2.392341494036409,1.5089285714285714
2006,11,NAICS,2259,5262.0,299.0,811.732993850884,2.8458715596330277,1.625418060200669
2006,21,NAICS,1260,2108.0,131.0,1242.4734126984126,3.7947284345047922,1.4274809160305344
2006,22,NAICS,1213,2989.0,77.0,1267.9153368794325,4.825648414985591,1.5974025974025974
2006,23,NAICS,54710,110163.0,1956.0,968.7645043613844,4.254407745764035,1.562883435582822
2006,31-33,NAICS,20278,81348.0,1172.0,1002.7184000474269,2.9010033901390186,1.85580204778157
2006,42,NAICS,2961,9089.0,221.0,840.096801705757,2.635984290623466,1.6968325791855203
2006,44-45,NAICS,3318,7956.0,165.0,808.7213943746259,2.3529591214154975,1.7757575757575759
2006,48-49,NAICS,3374,6837.0,279.0,1147.8887596899226,2.510204081632653,1.5197132616487454
2006,51,NAICS,537,805.0,48.0,1354.8368115942033,3.115485564304462,1.8333333333333333
2006,52,NAICS,239,159.0,3.0,795.0,1.8082191780821915,1.3333333333333333
2006,53,NAICS,636,1450.0,43.0,865.4931714719272,3.228102189781022,1.441860465116279
2006,54,NAICS,763,1373.0,62.0,958.4367816091954,3.6862745098039214,1.5161290322580645
2006,55,NAICS,7,18.0,0.0,950.364375,0.0,
2006,56,NAICS,3820,9367.0,329.0,1157.0287267080746,4.019063545150502,1.513677811550152
2006,61,NAICS,1407,3324.0,67.0,926.5098039215686,2.270152505446623,1.8656716417910448
2006,62,NAICS,2479,5542.0,42.0,781.8970947030497,2.1501178054527097,1.7380952380952381
2006,71,NAICS,552,1606.0,41.0,817.9131477927064,2.7158273381294964,1.5365853658536586
2006,72,NAICS,1473,4091.0,74.0,645.6779884149553,2.223592906707787,1.6891891891891893
2006,81,NAICS,2985,9196.0,111.0,613.9443506670297,2.4617308654327164,1.5405405405405406
2006,92,NAICS,3291,6984.0,135.0,699.3475332068311,2.594269340974212,1.6074074074074074
2007,11,NAICS,2331,5166.0,276.0,795.5876988746604,3.299860529986053,1.6956521739130435
2007,21,NAICS,1282,2614.0,111.0,1130.5606721698114,3.2562761506276146,1.3963963963963963
2007,22,NAICS,1123,2659.0,97.0,1666.832167832168,4.745426829268292,1.6082474226804124
2007,23,NAICS,51966,109084.0,1921.0,965.6588126925175,4.52090095856383,1.6605934409161895
2007,31-33,NAICS,19496,78569.0,1227.0,966.8531955989044,2.9151171631990045,1.9233903830480847
2007,42,NAICS,2661,9310.0,201.0,860.4408634111818,2.712877939529675,1.7412935323383085
2007,44-45,NAICS,3349,8474.0,199.0,852.7111605937922,2.602074074074074,1.7688442211055277
2007,48-49,NAICS,3416,7838.0,276.0,1230.1302395892756,2.650945446642034,1.4963768115942029
2007,51,NAICS,473,759.0,43.0,1277.8467532467532,2.9484240687679084,1.6511627906976745
2007,52,NAICS,253,140.0,3.0,857.2033898305085,2.738095238095238,1.3333333333333333
2007,53,NAICS,797,1873.0,48.0,856.2623545331529,3.4554655870445345,1.6458333333333333
2007,54,NAICS,742,1296.0,65.0,1023.4937500000001,3.7375886524822697,1.646153846153846
2007,55,NAICS,16,5.0,0.0,2708.75,,
2007,56,NAICS,3938,8736.0,363.0,1093.5984220654266,4.167504714016342,1.5647382920110193
2007,61,NAICS,1481,3342.0,59.0,1131.8434065934066,2.4573082489146163,1.8305084745762712
2007,62,NAICS,2724,6302.0,51.0,868.7902223230491,2.264075887392901,1.8431372549019607
2007,71,NAICS,592,1954.0,63.0,1016.7547584187408,3.1005434782608696,1.507936507936508
2007,72,NAICS,1563,3913.0,54.0,749.0412472035795,2.570724841660802,1.6851851851851851
2007,81,NAICS,2290,7322.0,120.0,1435.4599845821772,2.690468171101381,1.6083333333333334
2007,92,NAICS,3403,8197.0,180.0,709.8500459558824,2.710479573712256,1.7833333333333334
2008,11,NAICS,2631,5290.0,314.0,1055.7051009564293,3.5861204013377925,1.7579617834394905
2008,21,NAICS,1397,2434.0,116.0,1388.272747603834,3.701612903225807,1.4396551724137931
2008,22,NAICS,1192,2425.0,80.0,2037.2255800000003,4.75,1.5
