INDUSTRY_CODE,TOT_EMP,H_MEAN,A_MEAN,H_MEDIAN,A_MEDIAN,YEAR,INDUSTRY_TITLE,OCC_CODE,OCC_TITLE,OCC_GROUP,EMP_PRSE,PCT_TOTAL,PCT_RPT,MEAN_PRSE,H_PCT10,H_PCT25,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_PCT75,A_PCT90,ANNUAL,HOURLY,year,OWNERSHIP
42,5964920.0,22.55,46900.0,17.18,35740.0,2007,Wholesale Trade,00-0000,Industry Total,,0.2,100.00,100,0.3,9.15,12.05,26.74,43.02,19030.0,25050.0,55610.0,89490.0,,,,
44-45,15642700.0,13.37,27810.0,10.32,21470.0,2007,Retail Trade,00-0000,Industry Total,,0.1,100.00,100,0.1,7.15,8.17,14.84,22.48,14870.0,16990.0,30870.0,46770.0,,,,
48-49,5306240.0,20.01,41620.0,18.07,37580.0,2007,Transportation and Warehousing,00-0000,Industry Total,,0.4,100.00,100,0.6,9.68,12.8,23.43,30.65,20130.0,26630.0,48730.0,63760.0,,,,
51,3019040.0,26.25,54600.0,22.12,46020.0,2007,Information,00-0000,Industry Total,,0.6,100.00,100,1.2,9.27,13.73,33.34,48.56,19280.0,28560.0,69340.0,101000.0,,,,
52,5990930.0,25.57,53190.0,18.98,39480.0,2007,Finance and Insurance,00-0000,Industry Total,,0.3,100.00,100,0.4,10.25,13.27,30.44,48.84,21330.0,27610.0,63310.0,101590.0,,,,
53,2143100.0,17.99,37420.0,13.88,28880.0,2007,Real Estate and Rental and Leasing,00-0000,Industry Total,,0.3,100.00,100,0.5,7.78,9.93,20.2,31.4,16190.0,20650.0,42020.0,65300.0,,,,
54,7519060.0,30.47,63370.0,24.48,50920.0,2007,"Professional, Scientific, and Technical Services",00-0000,Industry Total,,0.2,100.00,100,0.3,10.83,15.56,38.99,58.27,22530.0,32360.0,81090.0,121210.0,,,,
55,1915250.0,29.93,62260.0,24.04,50000.0,2007,Management of Companies and Enterprises,00-0000,Industry Total,,0.7,100.00,100,0.6,11.18,15.6,38.3,56.64,23260.0,32450.0,79660.0,117800.0,,,,
56,8506680.0,15.11,31440.0,11.7,24330.0,2007,Administrative and Support and Waste Management and Remediation Services,00-0000,Industry Total,,0.3,100.00,100,0.3,7.59,8.96,16.99,26.57,15780.0,18640.0,35340.0,55270.0,,,,
61,12455550.0,21.62,44960.0,19.06,39650.0,2007,Educational Services,00-0000,Industry Total,,0.4,100.00,100,0.4,8.93,12.76,27.24,37.28,18580.0,26540.0,56660.0,77550.0,,,,
62,16006410.0,20.48,42600.0,15.18,31580.0,2007,Health Care and Social Assistance,00-0000,Industry Total,,0.3,100.00,100,0.2,8.35,10.67,24.6,36.54,17380.0,22190.0,51170.0,76010.0,,,,
